Rainfall,Exchange,Season,Cost
368.4,69.9347,3,1100
368.4,70.61,3,1700
368.4,70.8961,3,1700
368.4,70.8193,3,1900
368.4,70.6471,3,1900
368.4,70.576,3,1900
368.4,70.6765,3,1400
368.4,70.8422,3,2400
368.4,71.1775,3,1600
368.4,71.4225,3,1550
368.4,71.7017,3,2100
368.4,71.785,3,2100
368.4,71.9807,3,2100
368.4,71.7846,3,1850
368.4,71.9011,3,2050
368.4,72.3784,3,2250
368.4,72.5632,3,1900
75,72.9286,3,1750
75,72.5471,3,1600
75,72.4812,3,1900
75,72.48,3,1300
75,72.9076,3,2700
75,72.3832,3,2300
75,73.0829,3,2700
75,72.8658,3,2400
75,72.9402,3,1900
75,72.9154,3,1600
75,72.9154,3,1300
75,73.3172,3,1250
75,74.0801,3,1250
75,73.6592,3,1250
75,73.6104,3,1200
75,73.1348,3,1250
75,73.1384,3,900
75,73.1251,3,1600
75,73.2288,3,1600
75,73.2305,3,1900
75,73.2321,3,1900
75,73.6649,3,1900
75,73.4725,3,1600
27.2,73.4734,3,1400
27.2,73.4734,2,1400
27.2,73.52,2,1500
27.2,73.5823,2,1400
27.2,73.4657,2,1400
27.2,73.7677,2,1400
27.2,73.6879,2,1400
27.2,73.6859,2,1300
27.2,73.6859,2,1250
27.2,74.049,2,1250
27.2,74.249,2,1250
27.2,74.3407,2,1200
27.2,73.8812,2,1250
27.2,73.8906,2,1300
27.2,74.09,2,1300
27.2,74.0999,2,1100
27.2,73.6298,2,1250
27.2,73.3476,2,1250
27.2,72.924,2,1250
27.2,73.3672,2,1500
27.2,72.5142,2,1600
27.2,72.5151,2,1500
27.2,72.5151,2,1700
27.2,72.6169,2,1550
27.2,72.4179,2,1700
27.2,72.6804,2,1550
27.2,72.6888,2,1400
26,72.2416,2,1400
26,72.2361,2,1700
26,72.2149,2,1900
26,72.0373,2,1900
26,72.0138,2,1800
26,72.8528,2,700
26,72.5418,2,750
26,72.1013,2,750
26,72.1047,2,700
26,72.1047,2,700
26,72.0004,2,750
26,71.9358,2,750
26,72.6584,2,700
26,72.5755,2,550
26,72.1041,2,450
26,72.1033,2,350
26,72.1035,2,350
26,71.9432,2,550
26,71.757,2,550
4,71.5866,2,450
4,71.1524,2,350
4,71.0029,2,350
4,70.8701,2,550
4,70.8701,2,650
4,71.065,2,850
4,70.6076,2,3250
4,70.2644,2,900
4,69.955,2,900
4,69.7745,2,750
4,69.7753,2,750
4,69.7753,2,550
4,70.2874,2,550
4,69.7988,2,550
4,69.8126,2,650
4,69.7633,2,650
4,69.8295,2,550
4,69.7951,2,450
4,69.7951,2,600
4,70.0138,2,450
4,70.2781,2,350
4,69.9602,2,550
4,69.955,2,650
4,69.0905,2,650
4,69.0945,2,450
4,69.0945,2,600
4,68.8639,1,600
4,68.4645,1,650
4,68.6061,1,700
4,68.8183,1,750
4,68.5169,1,550
4,68.515,1,450
4,68.515,1,650
4,68.5543,1,750
4,68.336,1,900
4,68.4905,1,900
4,68.6955,1,750
4,68.6214,1,750
4,68.6249,1,650
4,68.6249,1,650
4,68.7474,1,650
4,68.7316,1,650
4,68.9486,1,650
4,68.9449,1,550
4,68.7415,1,480
4,68.747,1,550
4,68.745,1,550
4,68.9453,1,550
4,68.625,1,400
4,68.3624,1,350
6,68.5486,1,450
6,68.4967,1,450
6,68.4955,1,450
6,68.4949,1,350
6,68.4871,1,450
6,68.7319,1,450
6,68.645,1,450
6,68.6697,1,650
6,68.7652,1,650
6,68.7659,1,750
6,68.765,1,550
6,68.878,1,650
6,68.991,1,650
6,68.5445,1,650
6,68.715,1,650
6,68.445,1,550
6,68.444,1,750
6,68.4465,1,750
6,68.8214,1,700
6,68.9279,1,600
6,68.3694,1,450
6,68.1116,1,600
6,67.8669,1,900
6,67.866,1,850
6,67.866,1,900
6,67.8339,1,1100
6,68.0596,1,1100
7.4,68.0466,1,900
7.4,68.099,1,1100
7.4,68.156,1,1300
7.4,68.1757,1,1300
7.4,68.1757,1,1100
7.4,67.8659,1,1250
7.4,67.5264,1,1250
7.4,67.5957,1,1400
7.4,67.4939,1,1400
7.4,67.52,1,1300
7.4,67.5133,1,1250
7.4,67.5141,1,900
7.4,67.4177,1,900
7.4,66.841,1,900
7.4,67.0924,1,900
7.4,67.0702,1,1100
7.4,66.935,1,1400
7.4,66.9996,1,1900
7.4,66.9347,1,1900
7.4,67.4396,1,2100
7.4,67.4406,1,2300
7.4,67.8349,1,2300
7.4,67.411,1,1900
7.4,67.7316,1,1500
7.4,67.7303,1,1100
7.4,67.7301,1,1100
10,68.2677,4,900
10,68.3212,4,900
10,68.0848,4,1400
10,68.1155,4,1700
10,67.9764,4,2200
10,67.9823,4,2400
10,67.9846,4,2400
10,67.804,4,2400
10,67.7369,4,2200
10,68.478,4,2200
10,67.6873,4,2600
10,67.3759,4,3200
10,67.3916,4,3100
10,67.3934,4,3050
10,67.105,4,3100
10,67.3492,4,2900
10,67.1701,4,2900
10,67.1331,4,2400
10,66.8201,4,2400
10,66.8208,4,2900
10,66.8203,4,4200
10,66.6701,4,4300
10,66.8117,4,4900
10,66.7989,4,4400
10,66.4627,4,4200
10,66.5735,4,4600
10,66.5139,4,4900
10,66.5139,4,6400
10,66.91,4,6300
10,66.92,4,5900
10,66.4159,4,5500
10,66.5468,4,4900
10,66.2062,4,4400
10,66.1991,4,4400
10,66.2084,4,4100
10,66.1255,4,4100
10,65.7202,4,3200
10,65.6812,4,3600
10,65.4679,4,3600
10,65.2062,4,3400
10,65.2061,4,3100
10,65.2061,4,2900
10,65.2892,4,2700
10,65.195,4,2600
10,64.9484,4,2500
10,64.8755,4,2300
10,64.9171,4,2300
10,64.9211,4,2500
193,64.9193,4,2200
193,64.891,4,2400
193,65.0428,4,2250
193,64.915,4,2250
193,65.1342,4,1900
193,65.1161,4,1900
193,65.0815,4,2200
193,65.0795,4,2300
193,65.0346,4,2300
193,65.1553,4,2500
193,64.9027,4,2400
193,64.7068,4,2700
193,65.0214,4,2900
193,65.025,4,2900
193,65.0137,4,2600
193,65.1698,4,1900
193,65.075,4,1600
193,65.2401,4,1600
193,65.2205,4,1900
193,65.079,4,1900
193,65.075,4,1700
202,65.075,3,1550
202,65.0181,3,1800
202,64.8429,3,1800
202,64.8445,3,1700
202,64.9602,3,1550
202,64.9727,3,1300
202,64.9499,3,1300
202,64.9499,3,1200
202,65.0981,3,1200
202,64.8985,3,1100
202,64.8423,3,1100
202,65.0162,3,1100
202,65.1967,3,1100
202,65.1953,3,900
202,65.1967,3,900
202,65.1559,3,900
202,65.2619,3,900
202,64.9217,3,1050
202,64.788,3,1100
202,64.7647,3,1100
202,64.8976,3,1100
202,64.9,3,900
202,64.9635,3,1100
202,64.9029,3,1100
202,64.8749,3,1100
202,64.5157,3,1100
202,64.39,3,1100
170.2,64.39,3,900
170.2,64.3872,3,750
170.2,63.9017,3,900
170.2,64.0357,3,1100
170.2,64.264,3,900
170.2,64.289,3,550
170.2,64.2527,3,550
170.2,64.2214,3,650
170.2,64.2211,3,1250
170.2,64.4484,3,1300
170.2,64.2079,3,1300
170.2,64.2107,3,1300
170.2,64.3249,3,1700
170.2,64.1414,3,1700
170.2,64.1779,3,1750
170.2,64.2115,3,1650
170.2,63.8983,3,1600
170.2,63.6748,3,1450
170.2,63.7809,3,1450
170.2,63.6797,3,1300
170.2,63.5938,3,1450
170.2,63.6022,3,1850
170.2,63.6022,3,1700
170.2,63.5764,3,1700
170.2,63.5864,3,1500
290.8,63.7601,3,1200
290.8,63.8881,3,900
290.8,63.8393,3,3000
290.8,63.8444,3,700
290.8,63.8444,3,950
290.8,63.8754,3,1250
290.8,63.8344,3,1250
290.8,64.0186,3,1400
290.8,63.5281,3,1450
290.8,63.5986,3,1400
290.8,63.5933,3,1300
290.8,63.6094,3,1250
290.8,63.6912,3,1400
290.8,63.768,3,1050
290.8,63.6494,3,1050
290.8,63.4629,3,1150
290.8,63.2965,3,1250
290.8,63.3073,3,1500
290.8,63.3073,3,1250
290.8,63.3949,3,1250
290.8,63.4336,3,900
290.8,63.4699,3,900
290.8,63.8784,3,900
37.6,63.8519,2,900
37.6,63.8485,2,900
37.6,63.8592,2,900
37.6,64.0703,2,900
37.6,64.1233,2,1400
37.6,64.0383,2,1400
37.6,64.0205,2,1900
37.6,64.0188,2,1900
37.6,64.0178,2,2100
37.6,64.0204,2,2100
37.6,64.02,2,2300
37.6,63.9741,2,2500
37.6,64.0565,2,2000
37.6,64.2101,2,2250
37.6,64.0831,2,1550
37.6,64.0669,2,2000
37.6,64.0669,2,2000
37.6,64.2857,2,2500
37.6,64.3285,2,2700
37.6,64.5588,2,2550
37.6,64.3586,2,3100
37.6,64.4838,2,3100
37.6,64.4881,2,3000
37.6,64.4866,2,3100
37.6,64.5544,2,2900
37.6,64.5238,2,3000
8,64.3639,2,2900
8,64.3623,2,2700
8,64.5096,2,2700
8,64.5088,2,2900
8,64.5088,2,2900
8,64.5112,2,2900
8,64.425,2,2400
8,64.4724,2,2500
8,64.4531,2,2400
8,64.5649,2,2400
8,64.5551,2,2700
8,64.5575,2,2900
8,64.5884,2,3000
8,64.7843,2,2900
8,64.7693,2,2900
8,65.0372,2,2900
8,64.914,2,2900
8,65.0156,2,2900
8,65.0156,2,2900
8,65.2194,2,2500
8,65.2987,2,2900
8,65.4212,2,2900
8,65.4418,2,2700
8,64.8072,2,2700
8,65.3177,2,2600
17.1,65.3177,2,2000
17.1,64.9703,2,2100
17.1,64.9282,2,2100
17.1,65.1734,2,2100
17.1,64.593,2,2100
17.1,64.7037,2,1750
17.1,64.7059,2,1750
17.1,64.705,2,1650
17.1,64.5076,2,1650
17.1,64.5557,2,1550
17.1,64.6728,2,1550
17.1,64.8382,2,1550
17.1,64.9692,2,1900
17.1,64.886,2,1900
17.1,64.886,2,1700
17.1,64.9924,2,2100
17.1,64.8475,2,1900
17.1,65.0894,2,1800
17.1,65.0196,2,1400
17.1,65.1173,2,2400
17.1,65.1218,2,2400
17.1,65.1514,2,2400
17.1,64.8921,2,1900
17.1,65.0665,2,1900
17.1,64.9361,2,1400
17.1,64.7022,2,1400
2,64.6864,2,1250
2,64.6879,1,1250
2,64.6662,1,1400
2,65.0575,1,1300
2,65.1724,1,1250
2,65.2575,1,1350
2,65.4238,1,1750
2,65.4228,1,1650
2,65.403,1,1650
2,65.4004,1,1600
2,65.2076,1,1550
2,65.024,1,1550
2,65.4611,1,1600
2,65.581,1,1500
2,65.303,1,1450
2,65.289,1,1350
2,65.289,1,1400
2,65.3726,1,1250
2,65.5349,1,1300
2,65.3547,1,1200
2,65.2751,1,1100
2,64.9121,1,1150
64.8,64.7594,1,1250
64.8,64.7594,1,1300
64.8,64.8151,1,1250
64.8,64.277,1,1300
64.8,64.2956,1,1300
64.8,64.2495,1,1300
64.8,64.1453,1,1300
64.8,64.1349,1,1450
64.8,64.1569,1,1100
64.8,64.1432,1,1100
64.8,64.1146,1,750
64.8,63.9929,1,800
64.8,63.9723,1,700
64.8,63.9444,1,650
64.8,63.9362,1,650
64.8,63.942,1,650
64.8,63.96,1,500
64.8,64.0603,1,450
64.8,64.1168,1,550
64.8,64.049,1,450
64.8,64.0305,1,550
64.8,63.8045,1,550
64.8,63.8045,1,550
